yearMonth,Purpose,Number_of_Visitors
2006-06-01,Others,17660
2006-07-01,Convention/conference,19660
2006-07-01,Business,49440
2006-07-01,Visiting friends/relatives,88250
2006-07-01,Holiday,227630
2006-07-01,Employment,14370
2006-07-01,Education,57840
2006-07-01,Others,21000
2006-08-01,Convention/conference,19900
2006-08-01,Business,49360
2006-08-01,Visiting friends/relatives,78240
2006-08-01,Holiday,216420
2006-08-01,Employment,13570
2006-08-01,Education,17110
2006-08-01,Others,15600
2006-09-01,Convention/conference,20070
2006-09-01,Business,46520
2006-09-01,Visiting friends/relatives,91620
2006-09-01,Holiday,218430
2006-09-01,Employment,14440
2006-09-01,Education,14730
2006-09-01,Others,17650
2006-10-01,Convention/conference,20790
2006-10-01,Business,53610
2006-10-01,Visiting friends/relatives,96990
2006-10-01,Holiday,251380
2006-10-01,Employment,15240
2006-10-01,Education,16440
2006-10-01,Others,18480
2006-11-01,Convention/conference,15660
2006-11-01,Business,58930
2006-11-01,Visiting friends/relatives,102250
2006-11-01,Holiday,265940
2006-11-01,Employment,14900
2006-11-01,Education,12980
2006-11-01,Others,19320
2006-12-01,Convention/conference,8920
2006-12-01,Business,34530
2006-12-01,Visiting friends/relatives,192590
2006-12-01,Holiday,360600
2006-12-01,Employment,17950
2006-12-01,Education,11420
2006-12-01,Others,14860
2007-01-01,Convention/conference,10210
2007-01-01,Business,43580
2007-01-01,Visiting friends/relatives,89810
2007-01-01,Holiday,229310
2007-01-01,Employment,16260
2007-01-01,Education,40490
2007-01-01,Others,21370
2007-02-01,Convention/conference,11870
2007-02-01,Business,51610
2007-02-01,Visiting friends/relatives,98070
2007-02-01,Holiday,260980
2007-02-01,Employment,14710
2007-02-01,Education,54750
2007-02-01,Others,18170
2007-03-01,Convention/conference,24300
2007-03-01,Business,60480
2007-03-01,Visiting friends/relatives,116920
2007-03-01,Holiday,252540
2007-03-01,Employment,14710
2007-03-01,Education,24640
2007-03-01,Others,26420
2007-04-01,Convention/conference,15130
2007-04-01,Business,47960
2007-04-01,Visiting friends/relatives,101680
2007-04-01,Holiday,220540
2007-04-01,Employment,14020
2007-04-01,Education,18020
2007-04-01,Others,17590
2007-05-01,Convention/conference,14930
2007-05-01,Business,53500
2007-05-01,Visiting friends/relatives,77660
2007-05-01,Holiday,174820
2007-05-01,Employment,13680
2007-05-01,Education,12630
2007-05-01,Others,17510
2007-06-01,Convention/conference,15800
2007-06-01,Business,48240
2007-06-01,Visiting friends/relatives,86170
2007-06-01,Holiday,195360
2007-06-01,Employment,13790
2007-06-01,Education,20320
2007-06-01,Others,18290
2007-07-01,Convention/conference,21760
2007-07-01,Business,49960
2007-07-01,Visiting friends/relatives,91460
2007-07-01,Holiday,226720
2007-07-01,Employment,13820
2007-07-01,Education,57910
2007-07-01,Others,21160
2007-08-01,Convention/conference,17830
2007-08-01,Business,52970
2007-08-01,Visiting friends/relatives,88060
2007-08-01,Holiday,225540
2007-08-01,Employment,15530
2007-08-01,Education,18160
2007-08-01,Others,16660
2007-09-01,Convention/conference,21930
2007-09-01,Business,50500
2007-09-01,Visiting friends/relatives,99760
2007-09-01,Holiday,213200
2007-09-01,Employment,14620
2007-09-01,Education,15700
2007-09-01,Others,18390
2007-10-01,Convention/conference,19930
2007-10-01,Business,57530
2007-10-01,Visiting friends/relatives,99180
2007-10-01,Holiday,239960
2007-10-01,Employment,14680
2007-10-01,Education,16880
2007-10-01,Others,20680
2007-11-01,Convention/conference,21490
2007-11-01,Business,57150
2007-11-01,Visiting friends/relatives,113910
2007-11-01,Holiday,256040
2007-11-01,Employment,17290
2007-11-01,Education,13440
2007-11-01,Others,19900
2007-12-01,Convention/conference,7940
2007-12-01,Business,35600
2007-12-01,Visiting friends/relatives,195860
2007-12-01,Holiday,330010
2007-12-01,Employment,17530
2007-12-01,Education,11730
2007-12-01,Others,16170
2008-01-01,Convention/conference,9850
2008-01-01,Business,42270
2008-01-01,Visiting friends/relatives,89620
2008-01-01,Holiday,218680
2008-01-01,Employment,18450
2008-01-01,Education,41070
2008-01-01,Others,20690
2008-02-01,Convention/conference,17140
2008-02-01,Business,59610
2008-02-01,Visiting friends/relatives,105780
2008-02-01,Holiday,263350
2008-02-01,Employment,18200
2008-02-01,Education,61420
2008-02-01,Others,20920
2008-03-01,Convention/conference,16570
2008-03-01,Business,57040
2008-03-01,Visiting friends/relatives,128140
2008-03-01,Holiday,249830
2008-03-01,Employment,16260
2008-03-01,Education,26940
2008-03-01,Others,18930
2008-04-01,Convention/conference,14690
2008-04-01,Business,60040
2008-04-01,Visiting friends/relatives,103650
2008-04-01,Holiday,195880
2008-04-01,Employment,15670
2008-04-01,Education,15970
2008-04-01,Others,18420
2008-05-01,Convention/conference,16070
2008-05-01,Business,52910
2008-05-01,Visiting friends/relatives,86300
2008-05-01,Holiday,181720
2008-05-01,Employment,13440
2008-05-01,Education,11770
2008-05-01,Others,17810
2008-06-01,Convention/conference,13890
2008-06-01,Business,47910
2008-06-01,Visiting friends/relatives,90270
2008-06-01,Holiday,177860
2008-06-01,Employment,15770
2008-06-01,Education,17510
2008-06-01,Others,19250
2008-07-01,Convention/conference,39090
2008-07-01,Business,51890
2008-07-01,Visiting friends/relatives,90310
2008-07-01,Holiday,220680
2008-07-01,Employment,15830
2008-07-01,Education,58030
2008-07-01,Others,54620
2008-08-01,Convention/conference,17790
2008-08-01,Business,50660
2008-08-01,Visiting friends/relatives,91950
2008-08-01,Holiday,203000
2008-08-01,Employment,15250
2008-08-01,Education,21150
2008-08-01,Others,18950
2008-09-01,Convention/conference,17060
2008-09-01,Business,48080
2008-09-01,Visiting friends/relatives,100930
2008-09-01,Holiday,186240
2008-09-01,Employment,16670
2008-09-01,Education,14000
2008-09-01,Others,17030
2008-10-01,Convention/conference,18090
2008-10-01,Business,54720
2008-10-01,Visiting friends/relatives,105030
2008-10-01,Holiday,222970
2008-10-01,Employment,15950
2008-10-01,Education,18260
2008-10-01,Others,20730
2008-11-01,Convention/conference,15060
2008-11-01,Business,54320
2008-11-01,Visiting friends/relatives,115950
2008-11-01,Holiday,236290
2008-11-01,Employment,16070
2008-11-01,Education,12970
2008-11-01,Others,19690
2008-12-01,Convention/conference,8970
2008-12-01,Business,31150
2008-12-01,Visiting friends/relatives,206550
2008-12-01,Holiday,318910
2008-12-01,Employment,17800
2008-12-01,Education,11900
2008-12-01,Others,16530
2009-01-01,Convention/conference,7020
2009-01-01,Business,34080
2009-01-01,Visiting friends/relatives,99750
2009-01-01,Holiday,227960
2009-01-01,Employment,19990
2009-01-01,Education,41330
2009-01-01,Others,21760
2009-02-01,Convention/conference,11960
2009-02-01,Business,47890
2009-02-01,Visiting friends/relatives,109860
2009-02-01,Holiday,225520
2009-02-01,Employment,16810
2009-02-01,Education,68430
2009-02-01,Others,21310
2009-03-01,Convention/conference,12800
2009-03-01,Business,54170
2009-03-01,Visiting friends/relatives,123890
2009-03-01,Holiday,232880
2009-03-01,Employment,16150
2009-03-01,Education,27750
2009-03-01,Others,19200
2009-04-01,Convention/conference,9700
2009-04-01,Business,39360
2009-04-01,Visiting friends/relatives,130530
2009-04-01,Holiday,219070
2009-04-01,Employment,15060
2009-04-01,Education,20440
2009-04-01,Others,18660
2009-05-01,Convention/conference,12330
2009-05-01,Business,43580
2009-05-01,Visiting friends/relatives,101410
2009-05-01,Holiday,171320
2009-05-01,Employment,13640
2009-05-01,Education,13620
2009-05-01,Others,17010
2009-06-01,Convention/conference,11190
2009-06-01,Business,41940
2009-06-01,Visiting friends/relatives,97620
2009-06-01,Holiday,162300
2009-06-01,Employment,13240
2009-06-01,Education,18740
2009-06-01,Others,17250
2009-07-01,Convention/conference,15870
2009-07-01,Business,44110
2009-07-01,Visiting friends/relatives,112860
2009-07-01,Holiday,188240
2009-07-01,Employment,13970
2009-07-01,Education,61040
2009-07-01,Others,22880
2009-08-01,Convention/conference,17350
2009-08-01,Business,45770
2009-08-01,Visiting friends/relatives,99420
2009-08-01,Holiday,193880
2009-08-01,Employment,15330
2009-08-01,Education,21300
2009-08-01,Others,20110
2009-09-01,Convention/conference,15630
2009-09-01,Business,44650
2009-09-01,Visiting friends/relatives,115930
2009-09-01,Holiday,207650
2009-09-01,Employment,15640
2009-09-01,Education,16820
2009-09-01,Others,20980
2009-10-01,Convention/conference,16820
2009-10-01,Business,48930
2009-10-01,Visiting friends/relatives,121730
2009-10-01,Holiday,236840
2009-10-01,Employment,15490
2009-10-01,Education,21340
2009-10-01,Others,23670
2009-11-01,Convention/conference,16750
2009-11-01,Business,56660
2009-11-01,Visiting friends/relatives,128760
2009-11-01,Holiday,232460
2009-11-01,Employment,14920
2009-11-01,Education,15590
2009-11-01,Others,20110
2009-12-01,Convention/conference,9660
2009-12-01,Business,32060
2009-12-01,Visiting friends/relatives,229180
2009-12-01,Holiday,328580
2009-12-01,Employment,16760
2009-12-01,Education,13940
2009-12-01,Others,19180
2010-01-01,Convention/conference,7350
2010-01-01,Business,40930
2010-01-01,Visiting friends/relatives,106320
2010-01-01,Holiday,205940
2010-01-01,Employment,18970
2010-01-01,Education,46970
2010-01-01,Others,22230
2010-02-01,Convention/conference,14010
2010-02-01,Business,54210
2010-02-01,Visiting friends/relatives,118060
2010-02-01,Holiday,261620
2010-02-01,Employment,17680
2010-02-01,Education,73170
2010-02-01,Others,21380
2010-03-01,Convention/conference,14290
2010-03-01,Business,58740
2010-03-01,Visiting friends/relatives,139360
2010-03-01,Holiday,243320
2010-03-01,Employment,16870
2010-03-01,Education,31690
2010-03-01,Others,22060
2010-04-01,Convention/conference,14650
2010-04-01,Business,47370
2010-04-01,Visiting friends/relatives,117600
2010-04-01,Holiday,195900
2010-04-01,Employment,14750
2010-04-01,Education,19250
2010-04-01,Others,19380
2010-05-01,Convention/conference,14780
2010-05-01,Business,56420
2010-05-01,Visiting friends/relatives,93300
2010-05-01,Holiday,165930
2010-05-01,Employment,13450
2010-05-01,Education,13240
2010-05-01,Others,17830
2010-06-01,Convention/conference,18920
2010-06-01,Business,46650
2010-06-01,Visiting friends/relatives,103480
2010-06-01,Holiday,181850
2010-06-01,Employment,14690
2010-06-01,Education,20170
2010-06-01,Others,17940
2010-07-01,Convention/conference,20110
2010-07-01,Business,49020
2010-07-01,Visiting friends/relatives,111900
2010-07-01,Holiday,222430
2010-07-01,Employment,15690
2010-07-01,Education,69080
2010-07-01,Others,22690
2010-08-01,Convention/conference,17750
2010-08-01,Business,53230
2010-08-01,Visiting friends/relatives,107370
2010-08-01,Holiday,214870
2010-08-01,Employment,15000
2010-08-01,Education,23940
2010-08-01,Others,19150
2010-09-01,Convention/conference,18840
2010-09-01,Business,49810
2010-09-01,Visiting friends/relatives,121040
2010-09-01,Holiday,229220
2010-09-01,Employment,16900
2010-09-01,Education,17870
2010-09-01,Others,22000
2010-10-01,Convention/conference,17530
2010-10-01,Business,56630
2010-10-01,Visiting friends/relatives,124060
2010-10-01,Holiday,236050
2010-10-01,Employment,16380
2010-10-01,Education,19840
2010-10-01,Others,23980
2010-11-01,Convention/conference,20330
2010-11-01,Business,62930
2010-11-01,Visiting friends/relatives,131680
2010-11-01,Holiday,247050
2010-11-01,Employment,16910
2010-11-01,Education,15980
2010-11-01,Others,23210
2010-12-01,Convention/conference,8830
